_id,mc_number,company_name,address,phone_number,usdot_number,c_status,power_units,email
61139d154996002db4758d90,4,ML TRUCKING INC,"7432 LANDAU CURVE BLOOMINGTON, MN   55438",(952) 300-7811,2952582,unassigned,2,MLTRUCKING34@GMAIL.COM
61139d154996002db4758d91,5,SALAM EXPRESS LLC,"2716 RINALDI DR COLUMBUS, OH   43219",(614) 218-3972,2952584,unassigned,2,IMAN68185@GMAIL.COM
61139d154996002db4758d92,6,TULLY LOGISTICS LLC,"2014 HEYBURN AVE E TWIN FALLS, ID   83301",(208) 420-9710,2952585,unassigned,1,DONTULLY79@GMAIL.COM
61139d154996002db4758d93,10,LUIS ARMANDO HERNANDEZ,"12565 SUNNYMEADOWS MORENO VALLEY, CA   92553",(951) 385-7729,2952989,unassigned,1,HERNANDEZ4579@ROADRUNNER.COM
61139d154996002db4758d94,17,R & R GLOBAL LLC,"4301 TURTLEDOVE WAY MIAMISBURG, OH   45342",(412) 230-6787,2952260,unassigned,3,RRGLOBAL2017@GMAIL.COM
61139d154996002db4758d95,47,DELTA LOGISTICS INC,"641 COPPERFIELD LN TIPP CITY, OH   45371",(937) 524-4536,2952994,unassigned,10,DELTATRUCKK@GMAIL.COM
61139d154996002db4758d96,48,JENARO LUEVANO,"705 BLUEBIRD PHARR, TX   78577",(956) 784-0557,2285219,unassigned,2,LUEVANOTRUCKING@YAHOO.COM
61139d154996002db4758d97,50,SILVERADO CRUDE TRUCKING INC,"2233 E LONG LAKE DR NW BACKUS, MN   56435-2116",(218) 507-0362,2952351,unassigned,2,BEVPELZ@AOL.COM
61139d154996002db4758d98,56,EMBARK TRUCKS INC,"424 TOWNSEND ST SAN FRANCISCO, CA   94107",(650) 440-1764,2952363,unassigned,16,DREW.LINEHAM@EMBARKTRUCKS.COM
61139d154996002db4758d99,90,GOLDEN TRUCK LINE LLC,"9090 HARVEST SEASON CT HENDERSON, NV   89074",(702) 788-6037,2953028,unassigned,3,MJSANHU@GMAIL.COM
