mc_number, Entity Type,Operating Status,company_name,DBA Name,address,phone_number,Mailing Address,usdot_number,c_status,power_units,MCS-150 Form Date,Drivers,Operation_class,Carrier_operations,Cargo_carried,email
4,CARRIER,AUTHORIZED FOR Property,ML TRUCKING INC,,"7432 LANDAU CURVE BLOOMINGTON, MN   55438",(952) 300-7811,"7432 LANDAU CURVE BLOOMINGTON, MN   55438",2952582,unreached,2,08/14/2020,2,['Auth. For Hire'],['Interstate'],"['General Freight', 'Refrigerated Food']",MLTRUCKING34@GMAIL.COM
5,CARRIER,AUTHORIZED FOR Property,SALAM EXPRESS LLC,,"2716 RINALDI DR COLUMBUS, OH   43219",(614) 218-3972,"2716 RINALDI DR COLUMBUS, OH   43219",2952584,unreached,2,12/29/2020,2,['Auth. For Hire'],['Interstate'],['General Freight'],IMAN68185@GMAIL.COM
6,CARRIER,AUTHORIZED FOR Property,TULLY LOGISTICS LLC,,"2014 HEYBURN AVE E TWIN FALLS, ID   83301",(208) 420-9710,"2014 HEYBURN AVE E TWIN FALLS, ID   83301",2952585,unreached,1,03/02/2020,1,['Auth. For Hire'],['Interstate'],['General Freight'],DONTULLY79@GMAIL.COM
10,CARRIER,AUTHORIZED FOR Property,LUIS ARMANDO HERNANDEZ,LUIS HERNANDEZ TRANSPORTATION,"12565 SUNNYMEADOWS MORENO VALLEY, CA   92553",(951) 385-7729,"PO BOX 9216 MORENO VALLEY, CA   92552",2952989,unreached,1,05/20/2021,1,['Auth. For Hire'],['Interstate'],['General Freight'],HERNANDEZ4579@ROADRUNNER.COM
17,CARRIER,AUTHORIZED FOR Property,R & R GLOBAL LLC,,"4301 TURTLEDOVE WAY MIAMISBURG, OH   45342",(412) 230-6787,"4301 TURTLEDOVE WAY MIAMISBURG, OH   45342",2952260,unreached,3,07/21/2020,3,['Auth. For Hire'],['Interstate'],"['General Freight', 'Machinery, Large Objects']",RRGLOBAL2017@GMAIL.COM
47,CARRIER,AUTHORIZED FOR Property,DELTA LOGISTICS INC,,"641 COPPERFIELD LN TIPP CITY, OH   45371",(937) 524-4536,"641 COPPERFIELD LN TIPP CITY, OH   45371-8805",2952994,unreached,10,06/03/2021,15,['Auth. For Hire'],['Interstate'],"['General Freight', 'Fresh Produce']",DELTATRUCKK@GMAIL.COM
48,CARRIER,AUTHORIZED FOR Property,JENARO LUEVANO,LUEVANO TRUCKING,"705 BLUEBIRD PHARR, TX   78577",(956) 784-0557,"705 BLUEBIRD PHARR, TX   78577",2285219,unreached,2,07/08/2019,1,['Auth. For Hire'],['Interstate'],"['General Freight', 'Fresh Produce']",LUEVANOTRUCKING@YAHOO.COM
50,CARRIER,AUTHORIZED FOR Property,SILVERADO CRUDE TRUCKING INC,,"2233 E LONG LAKE DR NW BACKUS, MN   56435-2116",(218) 507-0362,"2233 E LONG LAKE DR NW BACKUS, MN   56435-2116",2952351,unreached,2,12/07/2020,1,['Auth. For Hire'],['Interstate'],"['General Freight', 'Fresh Produce', 'Grain, Feed, Hay', 'Meat', 'Refrigerated Food', 'Beverages', 'Paper Products']",BEVPELZ@AOL.COM
56,CARRIER,AUTHORIZED FOR Property,EMBARK TRUCKS INC,,"424 TOWNSEND ST SAN FRANCISCO, CA   94107",(650) 440-1764,"424 TOWNSEND ST SAN FRANCISCO, CA   94107",2952363,unreached,16,06/02/2021,16,['Auth. For Hire'],['Interstate'],['General Freight'],DREW.LINEHAM@EMBARKTRUCKS.COM
90,CARRIER,AUTHORIZED FOR Property,GOLDEN TRUCK LINE LLC,,"9090 HARVEST SEASON CT HENDERSON, NV   89074",(702) 788-6037,"9090 HARVEST SEASON CT HENDERSON, NV   89074-6993",2953028,unreached,3,06/17/2020,5,['Auth. For Hire'],['Interstate'],['General Freight'],MJSANHU@GMAIL.COM
